MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TransceiverClass
368084090,2022-01-01T00:00:00,29.93174,-89.99243,6.0,296.2,299.0,LARRY B WHIPPLE,,WDK7401,57,12,23,10,3.0,57,A
368140160,2022-01-01T00:00:00,30.33475,-87.14429,0.0,312.0,87.0,TWISTED ANGEL,IMO0000000,WDL5339,36,,12,7,,,B
366941830,2022-01-01T00:00:02,29.30919,-94.79702,0.0,180.2,511.0,SAN PATRICIO,,WCX6675,31,5,18,7,,57,A
316005971,2022-01-01T00:00:06,46.50268,-84.35674,2.4,258.6,257.0,BEVERLY M I,IMO9084047,CFP2004,31,0,34,10,5.3,99,A
316004054,2022-01-01T00:00:07,46.50326,-84.37506,0.3,61.9,511.0,ADANAC III,IMO8745333,VCLT,31,0,24,5,3.0,50,A
366863870,2022-01-01T00:00:08,41.08748,-72.35814,0.0,215.3,511.0,MASHOMACK,,WDA9320,60,0,38,13,,69,A
368118150,2022-01-01T00:00:25,47.39789,-122.32991,0.0,360.0,511.0,FROLIC,IMO0000000,WDL3075,36,,13,4,,,B
338379253,2022-01-01T00:00:36,33.61997,-117.89591,0.0,360.0,511.0,REEL DEAL III,IMO0000000,,37,,10,4,,,B
368195460,2022-01-01T00:00:41,37.64330,-122.32987,4.7,332.5,511.0,HORIZON,IMO0000000,WDM3234,36,,10,4,,,B
367614790,2022-01-01T00:00:47,21.31673,-157.87820,0.0,203.7,511.0,LUCKY TJ,IMO0000000,WDH4162,30,,0,0,,,B
367725790,2022-01-01T00:00:00,40.70949,-73.98408,0.0,360.0,511.0,LIBERTY BELLE,,WDI7144,60,0,35,,,31,A
368081510,2022-01-01T00:00:00,26.71404,-79.99998,1.8,160.6,157.0,STAR STUFF,IMO0000000,WDK7134,36,,0,0,,,B
368179710,2022-01-01T00:00:01,32.72595,-117.19237,0.0,360.0,511.0,WIND SEEKER,IMO0000000,WDL9501,37,,0,0,,,B
338358586,2022-01-01T00:00:01,26.71683,-80.04779,0.0,360.0,511.0,CERTIFIABLE LADY,IMO0000000,,37,,22,6,,,B
338226163,2022-01-01T00:00:02,37.00547,-76.31446,0.0,83.3,511.0,AUX38360,IMO0000000,,37,,12,2,,,B
